,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,66.0,0,0.75,150,0.0032116099999992542,150
1,69.0,1,0.75,150,0.01923669299999986,150
2,69.0,2,0.75,150,0.032765382999999204,150
3,70.0,3,0.75,150,0.044120536999999516,150
4,70.0,4,0.75,150,0.05553280399999849,150
5,71.0,5,0.75,150,0.06702509499999998,150
6,72.0,6,0.75,150,0.07846268199999962,150
7,76.0,7,0.75,150,0.08987071199999974,150
8,76.0,8,0.75,150,0.10132193299999948,150
9,76.0,9,0.75,150,0.11380413000000011,150
10,79.0,10,0.75,150,0.12708196499999858,150
11,79.0,11,0.75,150,0.14717660200000005,150
12,79.0,12,0.75,150,0.16074540199999987,150
13,82.0,13,0.75,150,0.17264063899999904,150
14,83.0,14,0.75,150,0.1839251529999988,150
15,83.0,15,0.75,150,0.19513528199999897,150
16,84.0,16,0.75,150,0.20625211599999993,150
17,86.0,17,0.75,150,0.2176755039999989,150
18,87.0,18,0.75,150,0.22907155099999876,150
19,87.0,19,0.75,150,0.24151330299999962,150
20,88.0,20,0.75,150,0.2554664029999998,150
21,89.0,21,0.75,150,0.2738188019999992,150
22,91.0,22,0.75,150,0.2853078269999987,150
23,94.0,23,0.75,150,0.29681202099999915,150
24,94.0,24,0.75,150,0.3084260229999991,150
25,94.0,25,0.75,150,0.3198407079999992,150
26,95.0,26,0.75,150,0.33125713999999995,150
27,96.0,27,0.75,150,0.3434485699999996,150
28,96.0,28,0.75,150,0.35498869299999924,150
29,97.0,29,0.75,150,0.36651844399999867,150
30,97.0,30,0.75,150,0.37813149700000004,150
31,98.0,31,0.75,150,0.39663112599999906,150
32,99.0,32,0.75,150,0.4082890259999985,150
33,99.0,33,0.75,150,0.4198234359999997,150
34,100.0,34,0.75,150,0.4311950169999985,150
35,100.0,35,0.75,150,0.442327487,150
36,100.0,36,0.75,150,0.4535871939999989,150
37,100.0,37,0.75,150,0.4647913619999997,150
38,100.0,38,0.75,150,0.478572969,150
39,100.0,39,0.75,150,0.49026300199999895,150
40,100.0,40,0.75,150,0.5033301639999994,150
41,100.0,41,0.75,150,0.5224101019999985,150
42,100.0,42,0.75,150,0.534274259,150
43,100.0,43,0.75,150,0.5457439429999997,150
44,100.0,44,0.75,150,0.5572394089999992,150
