,Fitness,Iteration,Temperature,Time,max_iters
0,57.0,0,0.05,6.090599999986068e-05,550
1,57.0,1,0.05,0.0004750739999996867,550
2,57.0,2,0.05,0.0005293019999994542,550
3,58.0,3,0.05,0.0005791070000000786,550
4,59.0,4,0.05,0.0006290189999997864,550
5,59.0,5,0.05,0.0006749939999997068,550
6,59.0,6,0.05,0.000715184999999785,550
7,60.0,7,0.05,0.0007557770000001796,550
8,61.0,8,0.05,0.0008012150000000773,550
9,62.0,9,0.05,0.0008462160000002328,550
10,62.0,10,0.05,0.0008904620000000918,550
11,63.0,11,0.05,0.0009295900000001467,550
12,63.0,12,0.05,0.0009749779999994601,550
13,64.0,13,0.05,0.0010150739999996716,550
14,65.0,14,0.05,0.0010605080000001266,550
15,65.0,15,0.05,0.0011056639999997842,550
16,66.0,16,0.05,0.0011457960000003098,550
17,66.0,17,0.05,0.0011916979999995192,550
18,67.0,18,0.05,0.0012315549999994957,550
19,68.0,19,0.05,0.001277571000000144,550
20,69.0,20,0.05,0.0013223970000000307,550
21,69.0,21,0.05,0.0013672769999999446,550
22,70.0,22,0.05,0.0014069550000002096,550
23,70.0,23,0.05,0.0014525249999994827,550
24,70.0,24,0.05,0.0014931689999997388,550
25,70.0,25,0.05,0.001533922000000132,550
26,71.0,26,0.05,0.001575207000000134,550
27,71.0,27,0.05,0.00162134199999997,550
28,71.0,28,0.05,0.0016617189999994508,550
29,71.0,29,0.05,0.001702264999999592,550
30,71.0,30,0.05,0.0017427799999998328,550
31,72.0,31,0.05,0.0017834009999999623,550
32,72.0,32,0.05,0.0018308039999999082,550
33,72.0,33,0.05,0.0018701899999999938,550
34,72.0,34,0.05,0.0019147269999999494,550
35,73.0,35,0.05,0.001956106999999818,550
36,73.0,36,0.05,0.002003122999999718,550
37,73.0,37,0.05,0.0020451340000002816,550
38,74.0,38,0.05,0.0020863860000002177,550
39,75.0,39,0.05,0.002132889999999499,550
40,75.0,40,0.05,0.0021788349999996015,550
41,75.0,41,0.05,0.002219996000000002,550
42,75.0,42,0.05,0.00226152699999993,550
43,75.0,43,0.05,0.0023029980000002226,550
44,76.0,44,0.05,0.0023457740000001337,550
45,76.0,45,0.05,0.0023929049999997787,550
46,76.0,46,0.05,0.0024340829999998093,550
47,77.0,47,0.05,0.002476417999999647,550
48,78.0,48,0.05,0.0025240469999996407,550
49,79.0,49,0.05,0.002570477999999987,550
50,79.0,50,0.05,0.0026166009999997186,550
51,79.0,51,0.05,0.01061053399999956,550
52,80.0,52,0.05,0.010665455999999907,550
53,80.0,53,0.05,0.01071913300000027,550
54,80.0,54,0.05,0.010760566000000082,550
55,80.0,55,0.05,0.010800451999999794,550
56,80.0,56,0.05,0.01083959099999987,550
57,80.0,57,0.05,0.010878124999999628,550
58,80.0,58,0.05,0.01091661999999971,550
59,80.0,59,0.05,0.010955564999999723,550
60,80.0,60,0.05,0.010993714999999682,550
61,80.0,61,0.05,0.011031487999999534,550
62,80.0,62,0.05,0.011069229999999486,550
