,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,67.0,0,0.5,150,0.003540361000000658,550
1,67.0,1,0.5,150,0.019481556000000566,550
2,67.0,2,0.5,150,0.031020185999999228,550
3,69.0,3,0.5,150,0.04254393099999909,550
4,71.0,4,0.5,150,0.05414972099999993,550
5,73.0,5,0.5,150,0.06573188399999985,550
6,73.0,6,0.5,150,0.07729619100000029,550
7,73.0,7,0.5,150,0.08880681800000012,550
8,76.0,8,0.5,150,0.10020870399999993,550
9,77.0,9,0.5,150,0.11102782499999897,550
10,78.0,10,0.5,150,0.1258493240000007,550
11,78.0,11,0.5,150,0.1410136099999999,550
12,80.0,12,0.5,150,0.1547866159999991,550
13,82.0,13,0.5,150,0.16948476199999973,550
14,85.0,14,0.5,150,0.18364759099999972,550
15,85.0,15,0.5,150,0.19794631599999946,550
16,85.0,16,0.5,150,0.2108867710000002,550
17,86.0,17,0.5,150,0.22265122199999965,550
18,89.0,18,0.5,150,0.2344694969999992,550
19,91.0,19,0.5,150,0.24634526800000067,550
20,93.0,20,0.5,150,0.25795913800000037,550
21,93.0,21,0.5,150,0.2697448559999991,550
22,93.0,22,0.5,150,0.2821166109999993,550
23,93.0,23,0.5,150,0.29374805900000034,550
24,93.0,24,0.5,150,0.30581385400000016,550
25,94.0,25,0.5,150,0.31773810199999986,550
26,95.0,26,0.5,150,0.329963274999999,550
27,97.0,27,0.5,150,0.3415485080000007,550
28,97.0,28,0.5,150,0.35318482699999976,550
29,97.0,29,0.5,150,0.3652017670000003,550
30,97.0,30,0.5,150,0.376798256999999,550
31,99.0,31,0.5,150,0.3892566510000002,550
32,100.0,32,0.5,150,0.40103320499999917,550
33,100.0,33,0.5,150,0.4127874439999992,550
34,100.0,34,0.5,150,0.4253804619999997,550
35,100.0,35,0.5,150,0.43971280799999946,550
36,100.0,36,0.5,150,0.45323641399999914,550
37,100.0,37,0.5,150,0.4666539380000003,550
38,100.0,38,0.5,150,0.4789983420000006,550
39,100.0,39,0.5,150,0.4911150200000005,550
40,100.0,40,0.5,150,0.5025546169999995,550
41,100.0,41,0.5,150,0.5140141459999992,550
42,100.0,42,0.5,150,0.5253384580000002,550
