,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,166.0,0,0.75,150,0.3867566520002583,150
1,166.0,1,0.75,150,0.7838951690000613,150
2,166.0,2,0.75,150,1.163654096000755,150
3,166.0,3,0.75,150,1.562071663000097,150
4,166.0,4,0.75,150,1.9661367870003232,150
5,168.0,5,0.75,150,2.35339081300026,150
6,168.0,6,0.75,150,2.747088365000309,150
7,168.0,7,0.75,150,3.1262600500003828,150
8,168.0,8,0.75,150,3.521911636000368,150
9,168.0,9,0.75,150,3.9101393549999557,150
10,168.0,10,0.75,150,4.291093498000009,150
11,168.0,11,0.75,150,4.6926317900006325,150
12,169.0,12,0.75,150,5.076677467000081,150
13,169.0,13,0.75,150,5.472349106000365,150
14,171.0,14,0.75,150,5.858230692000689,150
15,171.0,15,0.75,150,6.243117118000555,150
16,171.0,16,0.75,150,6.627509497000574,150
17,171.0,17,0.75,150,7.018509590000576,150
18,171.0,18,0.75,150,7.419832262999989,150
19,171.0,19,0.75,150,7.80931174700072,150
20,171.0,20,0.75,150,8.191677939000328,150
21,171.0,21,0.75,150,8.588136367000516,150
22,171.0,22,0.75,150,8.983296998000696,150
23,171.0,23,0.75,150,9.383382629000153,150
24,171.0,24,0.75,150,9.779933729000732,150
